Div ,Carrier ID ,Carrier Ref ,Term,RecNo ,SStat ,MStat,Adj Date ,Adj Code,  -  Desc ,Adj Amt,Deduct Amt,Sett Amt,ToBe Paid ,B ,Bill Amt ,Billed To ,SPaid ,Check #,Recog
CHZ,FLEMA,15Z14047919,CHI,1887352,88,PR,12/28/2021,CR,CHASSIS RENTAL,$190.00 ,$720.82 ,$190.00 ,1/4/2022,Y,"$1,502.50 ",DJSTXIL,01/11/2022,221362,1/4/2022
CHZ,FLEMA,15Z14047919,CHI,1889014,99,PR,12/28/2021,CR,CHASSIS RENTAL,$47.50 ,$645.82 ,$47.50 ,1/4/2022,Y,"$1,162.50 ",DJSTXIL,01/11/2022,221362,1/4/2022
CHZ,FLEMA,15Z14047919,CHI,1890596,99,PR,12/28/2021,CR,CHASSIS RENTAL,$71.25 ,$640.90 ,$71.25 ,1/4/2022,Y,$900.50 ,DJSTXIL,01/11/2022,221362,1/4/2022
CHZ,TRACMO,10118241,CHI,1891461,88,PR,12/10/2021,CR,CHASSIS RENTAL,$618.00 ,$640.89 ,$618.00 ,12/14/2021,Y,$900.50 ,DJSTXIL,01/25/2022,221499,12/14/2021
CHZ,DIRECT,DZZZ2212198,CHI,1891464,99,PR,2/11/2022,CR,CHASSIS RENTAL,$115.50 ,$518.96 ,$115.50 ,2/15/2022,Y,$900.50 ,DJSTXIL,03/01/2022,221692,2/15/2022
CHZ,TRACMO,10118241,CHI,1894294,99,PR,12/10/2021,CR,CHASSIS RENTAL,$51.50 ,$677.91 ,$51.50 ,12/14/2021,Y,"$1,319.50 ",DJSTXIL,01/25/2022,221499,12/14/2021
CHZ,TRACMO,10125411,CHI,1894295,99,PR,1/14/2022,CR,CHASSIS RENTAL,$77.25 ,$577.91 ,$77.25 ,1/18/2022,Y,"$1,014.50 ",DJSTXIL,02/22/2022,221657,1/18/2022
YST,DELONG,001206,CHI,1895326,99,PR,1/4/2022,YST,YARD STORAGE CHARGES,$59.70 ,$718.36 ,$59.70 ,1/6/2022,Y,"$1,362.50 ",DJSTXIL,01/11/2022,221369,1/6/2022
CHZ,TRACMO,10125411,CHI,1895806,99,PR,1/14/2022,CR,CHASSIS RENTAL,$180.25 ,$773.44 ,$180.25 ,1/18/2022,Y,"$2,150.50 ",DJSTXIL,02/22/2022,221657,1/18/2022
CHZ,TRACMO,10118241,CHI,1895884,88,PR,12/10/2021,CR,CHASSIS RENTAL,$128.75 ,$645.82 ,$128.75 ,12/14/2021,Y,$900.50 ,DJSTXIL,01/25/2022,221499,12/14/2021
CHZ,TRACMO,10118241,CHI,1895885,88,PR,12/10/2021,CR,CHASSIS RENTAL,$515.00 ,$645.82 ,$515.00 ,12/14/2021,Y,"$1,162.50 ",DJSTXIL,01/25/2022,221499,12/14/2021
CHZ,DIRECT,DZZZ2157376,CHI,1895887,99,PR,12/3/2021,CR,CHASSIS RENTAL,$360.00 ,$645.82 ,$360.00 ,12/3/2021,Y,"$1,162.50 ",DJSTXIL,12/17/2021,221219,12/3/2021
CHZ,TRACMO,10125411,CHI,1895888,99,PR,1/14/2022,CR,CHASSIS RENTAL,$566.50 ,$697.82 ,$566.50 ,1/18/2022,Y,$900.50 ,DJSTXIL,02/22/2022,221657,1/18/2022
PD,MSCSC,100001232900P,CHI,1896806,99,PR,12/8/2021,PD,PER DIEM CHARGES,"$3,645.00 ",$884.94 ,"$3,645.00 ",12/9/2021,Y,$720.50 ,DJSTXIL,01/12/2022,ACH,12/9/2021
CHZ,FLEMA,15Z14047919,CHI,1896842,99,PR,12/28/2021,CR,CHASSIS RENTAL,$237.50 ,$591.50 ,$237.50 ,1/4/2022,Y,$900.50 ,DJSTXIL,01/11/2022,221362,1/4/2022
CHZ,FLEMA,15Z14047919,CHI,1896846,99,PR,12/28/2021,CR,CHASSIS RENTAL,$118.75 ,$674.50 ,$118.75 ,1/4/2022,Y,"$1,043.00 ",DJSTXIL,01/11/2022,221362,1/4/2022
PD,COSCNJ,HOU00038846,CHI,1896914,99,PR,12/12/2021,PD,PER DIEM CHARGES,"$2,340.00 ",$593.77 ,"$2,340.00 ",12/13/2021,Y,"$1,518.50 ",DJSTXIL,01/26/2022,ACH,12/13/2021
EQC,FLEMA,CIT-202110PBIN,CHI,1896997,88,PR,12/31/2021,MISC,TOLL VIOLATION - 90009,$22.60 ,$580.97 ,$22.60 ,1/6/2022,Y,"$1,425.50 ",DJSTXIL,02/22/2022,221656,1/6/2022
EQC,FLEMA,CIT-202110PBIN,CHI,1897055,88,PR,12/31/2021,MISC,TOLL VIOLATION - 9963,$25.20 ,$552.80 ,$25.20 ,1/7/2022,Y,"$1,025.50 ",DJSTXIL,02/22/2022,221656,1/7/2022
PD,MSCSC,100001220292P,CHI,1897056,99,PR,12/3/2021,PD,PER DIEM CHARGES,"$2,355.00 ",$880.41 ,"$2,355.00 ",12/3/2021,Y,$720.50 ,DJSTXIL,01/12/2022,ACH,12/3/2021
CHZ,TRACMO,10125411,CHI,1897056,99,PR,1/14/2022,CR,CHASSIS RENTAL,$463.50 ,$880.41 ,$463.50 ,1/18/2022,Y,$720.50 ,DJSTXIL,02/22/2022,221657,1/18/2022
EQC,FLEMA,PBIN-202112DROP,CHI,1897059,88,PR,12/31/2021,MISC,IMPROPER DROP CHARGES,$200.00 ,$569.81 ,$200.00 ,2/21/2022,Y,"$1,350.50 ",DJSTXIL,02/22/2022,221656,2/21/2022
PD,MSCSC,100001220293P,CHI,1897206,99,PR,12/3/2021,PD,PER DIEM CHARGES,"$2,785.00 ",$588.47 ,"$2,785.00 ",12/3/2021,Y,$720.50 ,DJSTXIL,01/12/2022,ACH,12/3/2021
