RECNO,BILLTOID,BILLTO,PICKUPDATE,SCHEDPUTIME,BOLNUMBER,CUST_REF,Container No,TERMINAL
1908598,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/9/2022,2359,ONEYSGNBCH926900,14390956,NYKU492181,CHI
1912528,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYLCBC05280400,,NYKU435888,CHI
1913543,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYHANC08064400,,NYKU489000,CHI
1913542,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYHANC08064400,,NYKU480830,CHI
1913541,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYHANC07911400,,NYKU73108,CHI
1908600,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",2/26/2022,2359,ONEYSZPBW7716303,14381381,NYKU480368,CHI
1913477,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYSELC32525921,,NYKU520872,CHI
1913017,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYLCBC05790300,,NYKU487858,DIT
1910622,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/19/2022,2359,ONEYHANC00748500,14440062,NYKU519225,DIT
1913019,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYLCBC05790300,,NYKU525059,DIT
1911597,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/17/2022,2359,ONEYSZPC06467803,14425274,NYKU432798,DIT
1911598,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/17/2022,2359,ONEYSZPC06467801,14425275,NYKU519503,DIT
1913492,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,2359,ONEYSZPC06478303,,NYKU471946,ATL
1911681,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/22/2022,2359,ONEYPKGC02016300,14428440,NYKU82711,CHI
1913020,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYLCBC06893800,,NYKU521089,DIT
1908599,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/9/2022,2359,ONEYSGNBCH926900,14390957,ONEU19996,CHI
1913476,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYSELC30011402,,ONEU3133,CHI
1913018,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYLCBC06893800,,ONEU25628,DIT
1912817,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYPKGC07138600,,ONEU14695,DIT
1909711,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYLCBB49066600,,ONEU2879,ATL
1908222,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",2/17/2022,2359,ONEYSZPBX1457701,14357458,ONEU12110,DIT
1911599,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/17/2022,2359,ONEYSZPC06470901,14425270,ONEU194,DIT
1910667,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/16/2022,2359,ONEYLCBC01829900,14425292,ONEU4066,DIT
1911860,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/18/2022,2359,ONEYLCBC01732900,14432216,ONEU4309,DIT
1911859,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/18/2022,2359,ONEYLCBC01823300,14431709,ONEU2272,DIT
1913292,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,COSU6323517570,,OOCU801202,CHI
1913294,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,COSU6323517921,,OOCU900062,CHI
1913618,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,COSU6326721610,,OOCU762568,DAL
1911668,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/23/2022,2359,COSU6321078290,14440066,OOCU826163,DAL
1910894,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/28/2022,2359,COSU6321847410,14451004,OOCU799576,DAL
1911800,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,0,,14415266,OOCU831138,DAL
1911734,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/24/2022,2359,COSU6323303692,14416685,OOCU712699,CHI
1913075,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,COSU6327672722,,OOCU827081,CHI
1909941,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/28/2022,2359,COSU6321103420,14435372,OOCU694862,CHI
1912669,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,COSU6324728380,,OOCU791520,CHI
1911670,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,COSU6321078290,14516210,OOLU874453,DAL
1910280,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,COSU6321102310,,OOLU879865,CHI
1910281,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,COSU6321103350,,OOLU949653,CHI
1910279,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,COSU6321102310,14449832,OOLU879782,CHI
1910278,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/30/2022,2359,COSU6321102310,14453371,OOLU859984,CHI
1910957,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/14/2022,2359,COSU6323458181,14397267,OOLU911025,CHI
1910236,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/30/2022,2359,COSU6323458183,14449159,OOLU959192,CHI
1910545,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,COSU6321835410,14440633,OOLU947158,CHI
1913295,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,COSU6323517920,,OOLU916922,CHI
1910277,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,2359,COSU6321102310,14435371,OOLU683907,CHI
1913067,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,,,OOLU938667,DAL
1913066,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,,,OOLU928404,DAL
1913065,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,,,OOLU554585,DAL
1912221,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/24/2022,2359,MAEUS00587857,14449034,PONU811316,ATL
1910433,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/23/2022,2359,HDMUSELM70083900,14439182,RFCU507080,CHI
1908580,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,SMLMSZP2L9094700,,SDCU171585,CHI
1908487,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",2/21/2022,2359,HDMULCHM34572738,14366962,SEGU579312,CHI
1907885,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",2/11/2022,2359,HDMULCHM68108900,14347072,SEGU584731,CHI
1910939,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,CMDUGGZ1627191,14440393,SEGU489215,CHI
1911740,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/17/2022,2359,ONEYSZPBBG965604,14421693,SEGU447483,ATL
1910701,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/5/2022,2359,HDMULCHM47432300,14391940,SEGU603154,CHI
1910700,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/4/2022,2359,HDMULCHM00882200,14391789,SEGU585217,CHI
1908577,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",2/28/2022,2359,ONEYSZPBW8273901,14383533,SEGU585680,CHI
1912818,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,CMDUGGZ1638437,,SEGU621339,CHI
1912799,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,THD0889208,,SEGU605921,DIT
1913391,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYHANC09489900,,SEGU544936,CHI
1910597,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/9/2022,2359,HDMUSZPM60456400,14415935,SEGU603313,DIT
