RECNO ,Ter ,SSL,ID ,Consignee,Container No,Chassis No,,,, EL Bill,,WO #,BOL #,,
1932395,ATL,ONE,QUARTNY,SOUTHERN TIRE MART-BIRMINGHAM,TCLU668642,NAPZ-185802,11/19/2022,11/21/2022,,450.00 ,0.00 ,"1,329.10 ",OINYC-22070312,ONEYJKTC72681800,11/21/2022
1932477,ATL,ONE,QUARTNY,PEACH TIRE DISTRIBUTORS,TGHU914286,TLXZ-436878,11/21/2022,12/01/2022,,1170.00 ,0.00 ,"1,676.60 ",OINYC-22080060,ONEYJKTC82180300,12/01/2022
1932478,ATL,ONE,QUARTNY,TOM FOUTS TIRE,TCNU539298,DCNZ-407209,11/21/2022,11/28/2022,,600.00 ,0.00 ,"1,345.00 ",OINYC-22080054,ONEYJKTC82181400,11/28/2022
1932479,ATL,ONE,QUARTNY,RONNIE WARD TIRES,TCLU545859,HDMZ-409149,11/21/2022,12/07/2022,,1260.00 ,0.00 ,"1,841.10 ",OINYC-22080053,ONEYJKTC82182500,12/07/2022
1932480,ATL,ONE,QUARTNY,PEACH TIRE DISTRIBUTORS,GESU642481,YMLZ-424894,11/21/2022,12/06/2022,,830.00 ,0.00 ,"1,336.60 ",OINYC-22080096,ONEYJKTC82454700,12/06/2022
1932512,ATL,ONE,QUARTNY,TOM FOUT'S TIRE,TCNU867128,TCWZ-417695,11/21/2022,11/29/2022,,450.00 ,0.00 ,"1,314.20 ",OINYC-22080061,ONEYJKTC82179400,11/29/2022
1932513,ATL,ONE,QUARTNY,TOM FOUT'S TIRE,KKFU728451,DCSZ-714067,11/16/2022,11/22/2022,,80.00 ,0.00 ,944.20 ,OINYC-22070361,ONEYJKTC75591400,11/18/2022
1932514,ATL,ONE,QUARTNY,TOM FOUT'S TIRE,TCLU828555,AIMZ-473311,11/17/2022,11/17/2022,,175.00 ,0.00 ,"1,039.20 ",OINYC-22070375,ONEYJKTC77917800,11/17/2022
1932520,ATL,ONE,ONEVA,MAZDA NORTH AMERICA OPERATIONS,ONEU027730,HDMZ-413340,11/18/2022,11/18/2022,,0.00 ,0.00 ,480.60 ,CHI4505782-CHI33115216,,11/18/2022
1932521,ATL,ONE,ONEVA,MAZDA NORTH AMERICA OPERATIONS,NYKU515219,APMZ-417613,12/06/2022,12/08/2022,,0.00 ,0.00 ,480.60 ,CHI4505784-CHI33115218,,12/08/2022
1932522,ATL,ONE,ONEVA,MAZDA NORTH AMERICA OPERATIONS,FDCU050050,FZLZ-994026,11/04/2022,11/04/2022,,0.00 ,0.00 ,480.60 ,CHI4505783-CHI33115217,,11/04/2022
1932572,ATL,ONE,ONEVA,MAKITA CORP.,TEMU460090,DCNZ-205231,11/15/2022,11/15/2022,,0.00 ,0.00 ,680.85 ,CHI4506661-CHI33122685,NGOC20511300,11/15/2022
1932641,ATL,ONE,QUARTNY,TOM FOUT'S TIRE,ONEU000642,PBIZ-224315,12/07/2022,12/08/2022,,230.00 ,0.00 ,"1,111.60 ",OINYC-22080347,ONEYJKTC87683900,12/07/2022
1931419,ATL,HII,SAMSDTX,LOWE'S ADC 3468,HMMU600585,NAPZ-423157,11/01/2022,11/03/2022,11/02/2022,0.00 ,"1,323.45 ","2,466.90 ",SEA0035614,HDMULCHM56038007,11/01/2022
1931420,ATL,HII,SAMSDTX,LOWE'S ADC 3468,HMMU638381,TCWZ-417209,11/04/2022,11/14/2022,11/09/2022,0.00 ,820.00 ,"1,963.45 ",SEA0035615,HDMUKULM56180600,11/08/2022
1931421,ATL,HII,SAMSDTX,LOWE'S ADC 3468,KOCU414609,MSCZ-401722,11/01/2022,11/07/2022,11/07/2022,0.00 ,340.00 ,"1,483.45 ",SEA0035616,HDMULCHM56038005,11/01/2022
1931610,ATL,ONE,SAMSDCA,XPO LOGISTICS,TGBU995392,NAPZ-405884,11/08/2022,11/08/2022,,80.00 ,0.00 ,748.25 ,0073413,ONEYSELCA7347700,11/08/2022
1931715,ATL,ONE,QUARTNY,TOM FOUTS TIRE,BEAU532302,COZZ-461408,11/01/2022,11/02/2022,,222.50 ,0.00 ,972.50 ,OINYC-22070130,ONEYJKTC71124600,11/01/2022
1931716,ATL,ONE,QUARTNY,TOM FOUTS TIRE,ONEU026130,TRZZ-403417,11/01/2022,11/02/2022,,80.00 ,0.00 ,702.50 ,OINYC-22070129,ONEYJKTC71125700,11/01/2022
1931717,ATL,CMA,COOPMO,COOPER LIGHTING c/o CASS,FFAU121535,DCNZ-415409,11/14/2022,11/30/2022,11/28/2022,680.00 ,0.00 ,"1,276.70 ",1047414105-2021,XIA1060490,11/14/2022
1931718,ATL,CMA,COOPMO,COOPER LIGHTING c/o CASS,TRHU489413,AIMZ-472735,11/13/2022,11/22/2022,11/22/2022,400.00 ,0.00 ,996.70 ,1047414105-2021,XIA1060490,11/14/2022
