RECNO ,Ter ,SSL,ID ,Consignee,Container No,Chassis No,,,, EL Bill,,WO #,BOL #,,
1900698,ATL,CMA,EURLOCA,RED STAG WAREHOUSE 2-TYS2,CICU2535292,TRZZ-401899,12/23/2021,12/30/2021,,945.00 ,0.00 ,"2,180.48 ",ELIO2111111,CMDUNBXH151803,12/30/2021
1900699,ATL,CMA,EURLOCA,RED STAG WAREHOUSE 2-TYS2,CICU2535306,NAPZ-422280,12/23/2021,12/23/2021,,40.00 ,0.00 ,"1,275.48 ",ELIO2111111,CMDUNBXH151803,12/23/2021
1900700,ATL,CMA,EURLOCA,RED STAG WAREHOUSE 2-TYS2,CICU2535230,DCLZ-409413,12/23/2021,01/06/2022,,1565.00 ,0.00 ,"2,800.48 ",ELIO2111112,CMDUNBXH151809,12/30/2021
1900701,ATL,CMA,EURLOCA,RED STAG WAREHOUSE 2-TYS2,CICU2535245,DCNZ-437907,12/30/2021,01/05/2022,,785.00 ,0.00 ,"2,020.48 ",ELIO2111112,CMDUNBXH151809,12/30/2021
1900732,ATL,CMA,CMAVA,"XPEDX, SUWANEE GA",SEGU6365089,TCWZ-417505,01/14/2022,01/18/2022,,0.00 ,"20,400.00 ","20,901.60 ",TNAM21230095,SEL1237870,01/18/2022
1900733,ATL,CMA,CMAVA,"XPEDX, SUWANEE GA",CMAU6900874,FLKZ-602507,01/12/2022,01/18/2022,,0.00 ,"18,540.00 ","19,041.60 ",TNAM21230096,SEL1237623,01/18/2022
1900734,ATL,CMA,CMAVA,"XPEDX, SUWANEE GA",SEGU4998555,NAPZ-422962,01/12/2022,01/12/2022,,100.00 ,"18,540.00 ","19,141.60 ",TNAM21230097,SEL1237805,01/12/2022
1899822,SAV,ONE,ONEVA,NEOVIA LOGISTICS,TRHU7830499,EMCZ-947048,01/20/2022,02/03/2022,01/24/2022,0.00 ,"17,149.50 ","18,440.26 ",CHI3684243-CHI26573702,LCBB32517600,01/21/2022
1901491,ATL,HAP,DMXLONH,AN DERINGER,BEAU5084017,NAPZ-424007,12/16/2021,12/16/2021,,40.00 ,0.00 ,546.25 ,45194,HLCURTM2110AVCT4,12/16/2021
1901492,ATL,HAP,DMXLONH,AN DERINGER,CAAU5332579,NAPZ-175028,12/16/2021,12/16/2021,,40.00 ,0.00 ,546.25 ,45198,HLCURTM2110AVCT4,12/16/2021
1901493,ATL,HAP,DMXLONH,AN DERINGER,FANU1540627,TSXZ-467691,12/16/2021,12/16/2021,,40.00 ,0.00 ,546.25 ,45199,HLCURTM2110AVCT4,12/16/2021
1901494,ATL,HAP,DMXLONH,AN DERINGER,FANU1638399,TAXZ-429429,12/16/2021,12/16/2021,,40.00 ,0.00 ,546.25 ,45201,HLCURTM2110AVCT4,12/16/2021
1901495,ATL,HAP,DMXLONH,AN DERINGER,FANU1638763,AIMZ-402439,12/15/2021,12/15/2021,,40.00 ,0.00 ,546.25 ,45202,HLCURTM2110AVCT4,12/15/2021
1901496,ATL,HAP,DMXLONH,AN DERINGER,FANU1660453,MCCZ-405114,12/15/2021,12/15/2021,,40.00 ,0.00 ,546.25 ,45205,HLCURTM2110AVCT4,12/15/2021
1901497,ATL,HAP,DMXLONH,AN DERINGER,FCIU7489104,APMZ-405578,12/15/2021,12/15/2021,,40.00 ,0.00 ,546.25 ,45209,HLCURTM2110AVCT4,12/15/2021
1901498,ATL,HAP,DMXLONH,AN DERINGER,HLBU1899641,TLXZ-432989,12/15/2021,12/15/2021,,40.00 ,0.00 ,546.25 ,45210,HLCURTM2110AVCT4,12/15/2021
1901499,ATL,HAP,DMXLONH,AN DERINGER,TCNU3760131,EMCZ-101500,12/15/2021,12/15/2021,,40.00 ,0.00 ,546.25 ,45211,HLCURTM2110AVCT4,12/15/2021
1901512,SAV,ONE,ONEVA,SAMSUNG ELECTRONICS AMERICA,GCXU5422845,TSXZ-606432,01/03/2022,01/24/2022,01/13/2022,0.00 ,0.00 ,"1,893.44 ",CHI3734762-CHI26941729,SZPBR8459504,01/09/2022
1901513,SAV,ONE,ONEVA,SAMSUNG ELECTRONICS AMERICA,TCLU1675820,MAEC-706337,01/03/2022,01/24/2022,01/13/2022,0.00 ,0.00 ,"1,893.44 ",CHI3734762-CHI26941728,SZPBR8459503,01/10/2022
1901514,SAV,ONE,ONEVA,SAMSUNG ELECTRONICS AMERICA,MOTU6715351,TAXZ-467778,01/03/2022,01/24/2022,01/11/2022,0.00 ,315.00 ,"2,208.44 ",CHI3734762-CHI26941730,SZPBR8459505,01/08/2022
1901627,SAV,MSK,MAENC,NEOVIA LOGISTICS,BSIU9105859,AIMZ-651806,12/20/2021,12/29/2021,12/23/2021,0.00 ,0.00 ,"1,537.50 ",CHS211110583,214433287,12/21/2021
1901628,SAV,MSK,MAENC,NEOVIA LOGISTICS,MRKU2255977,APMZ-421322,12/20/2021,01/03/2022,12/22/2021,0.00 ,0.00 ,"1,537.50 ",CHS211110583,214433287,12/21/2021
1901629,SAV,MSK,MAENC,NEOVIA LOGISTICS,MRKU5264503,AIMZ-473400,12/20/2021,01/12/2022,01/07/2022,0.00 ,0.00 ,"1,537.50 ",CHS211110583,214433287,12/21/2021
1901630,SAV,MSK,MAENC,NEOVIA LOGISTICS,MSKU1434347,TAXZ-477123,12/29/2021,01/12/2022,01/04/2022,0.00 ,0.00 ,"1,537.50 ",CHS211110583,214433287,12/30/2021
1901632,SAV,MSK,MAENC,NEOVIA LOGISTICS,SUDU6970201,TAXZ-449679,12/20/2021,01/10/2022,01/04/2022,0.00 ,427.00 ,"1,964.50 ",CHS211110583,214433287,12/28/2021
1901634,SAV,MSK,MAENC,NEOVIA LOGISTICS,MSKU8898247,NAPZ-185477,12/20/2021,01/11/2022,01/05/2022,55.00 ,455.00 ,"2,047.50 ",CHS211110583,214433287,12/29/2021
1901635,SAV,MSK,MAENC,NEOVIA LOGISTICS,CAAU6562262,MAEC-610879,12/20/2021,01/03/2022,,0.00 ,455.00 ,"1,992.50 ",CHS211110583,214433287,12/29/2021
1901643,SAV,OOC,PREMICA,ACME FURNITURE,OOLU8808271,HDMZ-409798,12/23/2021,01/08/2022,,646.00 ,0.00 ,"1,834.00 ",PCL-OI019846-020196,OOLU2677689261,01/06/2022
1901644,SAV,ONE,ONEVA,SAMSUNG ELECTRONICS AMERICA,TCKU7962326,DCNZ-407477,01/18/2022,01/31/2022,01/21/2022,0.00 ,0.00 ,"1,893.44 ",CHI3747762-CHI27041598,SZPBS9557603,01/19/2022
1901647,SAV,ONE,ONEVA,SAMSUNG ELECTRONICS AMERICA,TRHU7229493,NAPZ-185850,01/18/2022,02/03/2022,01/24/2022,0.00 ,0.00 ,"1,893.44 ",CHI3747762-CHI27041590,SZPBS9557602,01/20/2022
1901648,SAV,ONE,ONEVA,SAMSUNG ELECTRONICS AMERICA,TCLU9580628,APMZ-424942,01/17/2022,01/29/2022,01/20/2022,0.00 ,0.00 ,"1,893.44 ",CHI3747762-CHI27041589,SZPBS9557607,01/18/2022
1901649,SAV,ONE,ONEVA,SAMSUNG ELECTRONICS AMERICA,CXDU1344038,DCNZ-415691,01/18/2022,01/31/2022,01/21/2022,0.00 ,0.00 ,"1,893.44 ",CHI3747762-CHI27041597,SZPBS9557606,01/20/2022
1901650,SAV,ONE,ONEVA,SAMSUNG ELECTRONICS AMERICA,DRYU9939081,AIMZ-604297,01/18/2022,01/26/2022,01/24/2022,0.00 ,0.00 ,"1,893.44 ",CHI3747762-CHI27041593,SZPBS9557608,01/19/2022
1901652,SAV,ONE,ONEVA,SAMSUNG ELECTRONICS AMERICA,TGHU6466673,ZCSZ-941041,01/18/2022,01/28/2022,01/24/2022,0.00 ,0.00 ,"1,893.44 ",CHI3747762-CHI27041596,SZPBS9557609,01/21/2022
1900288,ATL,CMA,CMAVA,BEST BUY #718 / SAMSUNG,GCXU5375574,YMLZ-424817,01/15/2022,01/18/2022,,0.00 ,"20,435.75 ","20,937.35 ",TNAM21226952,SEL1237815,01/18/2022
1900290,ATL,CMA,CMAVA,"XPEDX, SUWANEE GA",TCLU9595994,NAPZ-185209,01/13/2022,01/13/2022,,100.00 ,"19,055.00 ","19,656.60 ",TNAM21226958,SEL1237806,01/13/2022
1900291,ATL,CMA,CMAVA,BEST BUY #718 / SAMSUNG,GESU5225452,DCNZ-400560,01/15/2022,01/20/2022,,100.00 ,"19,773.00 ","20,374.60 ",TNAM21226959,SEL1236816,01/20/2022
1900303,ATL,CMA,CMAVA,NEOVIA LOGISTICS,TRHU5425012,EMCZ-947147,01/21/2022,01/27/2022,01/24/2022,100.00 ,"29,355.00 ","29,871.10 ",TNAM21226222,THD0785813B,01/21/2022
