RECNO ,Ter ,SSL,ID ,Consignee,Container No,Chassis No,,,, EL Bill,,WO #,BOL #,,
1934755,CHI,ONE,SAMSDTX,NEOVIA LOGISTICS - A58,TGBU467012,FLXZ-416233,12/09/2022,12/09/2022,,0.00 ,40.00 ,724.00 ,SEA0042951,ONEYSELCE2673800,12/09/2022
1934757,CHI,ONE,SAMSDTX,NEOVIA LOGISTICS - A58,TLLU564470,FHCZ-148962,12/09/2022,12/09/2022,,0.00 ,40.00 ,724.00 ,SEA0042962,ONEYSELCE2673803,12/09/2022
1934759,CHI,CMA,SAMSDTX,LOWE'S ADC 3463,BEAU404758,MOFZ-660040,12/12/2022,12/21/2022,12/13/2022,0.00 ,"1,587.05 ","2,369.85 ",SEA0040841,CMDUTHD0994818Q,12/12/2022
1934761,CHI,CMA,SAMSDTX,LOWE'S ADC 3463,BEAU611284,TSXZ-620944,12/15/2022,12/27/2022,12/19/2022,0.00 ,"1,277.05 ","2,059.85 ",SEA0040847,CMDUTHD0994818E,12/15/2022
1934767,CHI,CMA,SAMSDTX,LOWE'S ADC 3463,GCXU538340,TSXZ-499167,12/12/2022,12/21/2022,12/14/2022,0.00 ,"1,407.05 ","2,189.85 ",SEA0040899,CMDUTHD0994818H,12/12/2022
1934773,CHI,CMA,SAMSDTX,LOWE'S ADC 3463,TGHU621769,TSXZ-437313,12/15/2022,12/27/2022,12/19/2022,0.00 ,"1,277.05 ","2,059.85 ",SEA0040935,CMDUTHD0994818D,12/15/2022
1934782,CHI,CMA,SAMSDTX,UNIS BOLINGBROOK,APZU303370,DCNZ-235059,12/05/2022,12/08/2022,12/06/2022,0.00 ,410.00 ,"1,223.20 ",SEA0042782,H9379194,12/05/2022
1934785,CHI,HII,SAMSDTX,UNIS BOLINGBROOK,HMMU657740,DCLZ-407858,12/14/2022,12/14/2022,,0.00 ,40.00 ,853.20 ,SEA0042845,HDMUSZPM72658200,12/14/2022
1934786,CHI,HII,SAMSDTX,UNIS BOLINGBROOK,HMMU657991,CCLZ-441704,12/17/2022,12/27/2022,12/23/2022,0.00 ,780.00 ,"1,593.20 ",SEA0042846,HDMUSZPM50228800,12/20/2022
1934788,CHI,HII,SAMSDTX,UNIS BOLINGBROOK,KOCU449534,DCLZ-414411,12/22/2022,12/27/2022,12/23/2022,0.00 ,240.00 ,"1,053.20 ",SEA0042859,HDMUSZPM50228800,12/22/2022
1934789,CHI,ONE,SAMSDTX,UNIS BOLINGBROOK,SEGU499101,FLTZ-409583,12/12/2022,12/14/2022,12/13/2022,0.00 ,120.00 ,933.20 ,SEA0042910,ONEYHANC70072900,12/12/2022
1934790,CHI,ONE,SAMSDTX,UNIS BOLINGBROOK,TLLU552826,FHCZ-149000,12/12/2022,12/14/2022,12/13/2022,0.00 ,120.00 ,933.20 ,SEA0042960,ONEYHANC70072900,12/12/2022
1934792,MEM,MSC,COOPMO,COOPER LIGHTING,TRHU833448,APMZ-426824,12/05/2022,12/07/2022,12/06/2022,120.00 ,0.00 ,527.70 ,1049045955-2021,MEDUX4013942,12/05/2022
1933642,MEM,CMA,COOPMO,COOPER LIGHTING,TRHU660974,PBIZ-404002,12/06/2022,12/09/2022,12/08/2022,460.00 ,0.00 ,870.40 ,1048813174-2021,SGN1717649,12/07/2022
1933643,MEM,CMA,COOPMO,COOPER LIGHTING,TCLU658275,CCMZ-401664,12/28/2022,12/29/2022,12/28/2022,80.00 ,0.00 ,490.40 ,1048812964-2021,SGN1717609,12/28/2022
1933644,MEM,CMA,COOPMO,COOPER LIGHTING,TGBU698269,NAPZ-186625,12/27/2022,12/28/2022,12/28/2022,175.00 ,0.00 ,585.40 ,1048812964-2021,SGN1717609,12/27/2022
1933645,MEM,CMA,COOPMO,COOPER LIGHTING,TRHU605380,MCHZ-400657,12/03/2022,12/05/2022,12/05/2022,80.00 ,0.00 ,493.10 ,1048653014-2021,SGN1712382,12/05/2022
1933646,MEM,CMA,COOPMO,COOPER LIGHTING,CAIU612120,NAPZ-192065,12/02/2022,12/06/2022,12/05/2022,350.00 ,0.00 ,763.10 ,1048652967-2021,SGN1712364,12/02/2022
1933647,MEM,CMA,COOPMO,COOPER LIGHTING,TCNU239220,TAXZ-488225,12/02/2022,12/07/2022,12/06/2022,240.00 ,0.00 ,653.10 ,1048652927-2021,SGN1712359,12/05/2022
1933648,MEM,CMA,COOPMO,COOPER LIGHTING,TCNU623170,FLXZ-415071,12/02/2022,12/05/2022,12/05/2022,160.00 ,0.00 ,573.10 ,1048481288-2021,SGN1710665,12/02/2022
1933651,CHI,ONE,COOPMO,COOPER LIGHTING,NYKU392517,KKLZ-201024,12/05/2022,12/09/2022,12/07/2022,480.00 ,0.00 ,"1,283.25 ",1049049883-2021,XMNC90412800,12/06/2022
