"TERMINAL","RECNO","EL_DIV","EL_PR","EL_DDP","EL_ID","EL_PB","EL_PB_BILL_INFO","EL_TPP","PREFIX_CTNR","CONTAINERNO","ADJAMOUNT","VCC","ORIG_BILLTOID","CONSIGNEE","INV_DATE","DUE_DATE","DELVDATE","INGATEDATE","EMPTY_NOTIFIED","CARRIER_ID","MPA_CARR_REF","PPWK_RECVD","NBA_CHANGE","SPAID","EL_NBA"
"CHI",1919347,"PD",80,0,0,0,"",0,"TCLU","495635",80,"N","ARMADPA","BNSF LPC Logistics Park (H572)",7/20/2022,8/19/2022,7/11/2022,7/18/2022,,"EVERTX","PF2207021971",7/20/2022,,,0
"CHI",1919277,"PD",20,0,0,0,"",0,"TGBU","448452",20,"N","ARMADPA","ROMEOVILLE IL HUB",7/20/2022,8/19/2022,7/6/2022,7/13/2022,,"EVERTX","PF2207022284",7/20/2022,,,0
"CHI",1912837,"PD",2055,0,0,0,"",0,"SEGU","406787",2055,"N","ARMADPA","ROMEOVILLE IL HUB",7/18/2022,8/17/2022,5/11/2022,5/31/2022,5/12/2022,"YANGTX","DT0308676",7/21/2022,,,0
"CHI",1912836,"PD",850,0,0,0,"",0,"YMLU","886901",850,"N","ARMADPA","ROMEOVILLE IL HUB",7/18/2022,8/17/2022,5/19/2022,6/2/2022,5/24/2022,"YANGTX","DT0308673",7/20/2022,,,0
"CHI",1920218,"PD",340,0,0,0,"",0,"YMMU","625266",340,"N","K&NAMA","SYSMEX REAGENTS AMERICA, INC",7/18/2022,8/17/2022,6/1/2022,6/9/2022,,"YANGTX","DT0308675",7/20/2022,,,0
"CHI",1919458,"PD",3960,0,0,0,"",0,"TRHU","744695",3960,"Y","SAMSDTX","NEOVIA LOGISTICS - A58",7/20/2022,8/19/2022,5/18/2022,6/25/2022,,"MAERNC","5260491571",7/20/2022,,,0
"CHI",1914952,"MNR",394.04,0,0,0,"",0,"TXGU","526971",394.04,"Y","CMAVA","ABT ELECTRONICS",7/18/2022,8/17/2022,7/12/2022,7/12/2022,,"INTIND","C243054",7/20/2022,,,0
"CHI",1913030,"PD",680,0,0,0,"",0,"SEGU","640713",680,"N","ARMADPA","ROMEOVILLE IL HUB",7/18/2022,8/17/2022,5/20/2022,6/2/2022,5/24/2022,"YANGTX","DT0308673",7/20/2022,,,0
"DAL",1900452,"MNR",326.88,0,0,0,"",0,"TCLU","592841",326.88,"Y","CMAVA","LOWE'S ADC 3270",3/7/2022,3/28/2022,11/17/2021,11/27/2021,11/22/2021,"DIRECT","MR0047271",3/9/2022,,5/10/2022,0
"DIT",1917155,"PD",3300,0,0,0,"",0,"TRHU","590895",3300,"Y","SAMSDTX","NEOVIA LOGISTICS - A59",7/18/2022,8/17/2022,7/1/2022,7/11/2022,7/5/2022,"ONE","UST863704",7/20/2022,,,0
"DIT",1917960,"PD",3900,0,0,0,"",0,"SEKU","442430",3900,"Y","SAMSDTX","NEOVIA LOGISTICS - A59",7/18/2022,8/17/2022,7/1/2022,7/16/2022,7/5/2022,"ONE","UST863549",7/20/2022,,,0
"DIT",1917962,"PD",4200,0,0,0,"",0,"TCKU","793028",4200,"Y","SAMSDTX","NEOVIA LOGISTICS - A59",7/18/2022,8/17/2022,7/1/2022,7/16/2022,7/6/2022,"ONE","UST863564",7/20/2022,,,0
"DIT",1917154,"PD",300,0,0,0,"",0,"TRHU","586657",300,"Y","SAMSDTX","UNIS ROANOKE",7/18/2022,8/17/2022,7/8/2022,7/13/2022,,"ONE","UST863707",7/20/2022,,,0
"DIT",1915920,"PD",340,0,0,0,"",0,"BMOU","615011",340,"N","VICIL","IDC",7/18/2022,8/17/2022,6/17/2022,6/17/2022,,"YANGTX","DT0308672",7/25/2022,,,0
"DIT",1917147,"PD",150,0,0,0,"",0,"KKFU","783054",150,"Y","SAMSDTX","UNIS ROANOKE",7/18/2022,8/17/2022,7/8/2022,7/12/2022,7/11/2022,"ONE","UST863714",7/20/2022,,,0
"DIT",1915922,"PD",6195,0,0,0,"",0,"BEAU","506868",6195,"N","VICIL","IDC",7/18/2022,8/17/2022,6/22/2022,6/22/2022,,"YANGTX","DT0308672",7/20/2022,,,0
"DIT",1917964,"PD",3600,0,0,0,"",0,"TCLU","549138",3600,"Y","SAMSDTX","NEOVIA LOGISTICS - A59",7/18/2022,8/17/2022,6/27/2022,7/14/2022,7/5/2022,"ONE","UST863556",7/20/2022,,,0
